Problem:    f2_1
Rows:       1297
Columns:    235 (208 integer, 208 binary)
Non-zeros:  5791
Status:     INTEGER OPTIMAL
Objective:  Makespan = 43 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 ProctimeConstraint[A,1]
                                   0            -0               
     2 ProctimeConstraint[A,2]
                                   0            -0               
     3 ProctimeConstraint[A,3]
                                   0            -0               
     4 ProctimeConstraint[B,1]
                                   0            -0               
     5 ProctimeConstraint[B,2]
                                   0            -0               
     6 ProctimeConstraint[B,3]
                                   0            -0               
     7 ProctimeConstraint[B,4]
                                   0            -0               
     8 ProctimeConstraint[C,1]
                                   1            -0               
     9 ProctimeConstraint[C,2]
                                   0            -0               
    10 ProctimeConstraint[C,3]
                                   1            -0               
    11 ProctimeConstraint[D,1]
                                   0            -0               
    12 ProctimeConstraint[D,2]
                                   0            -0               
    13 ProctimeConstraint[D,3]
                                   0            -0               
    14 SubsequentTask[A,2]
                                  16            -0               
    15 SubsequentTask[A,3]
                                   0            -0               
    16 SubsequentTask[B,2]
                                   0            -0               
    17 SubsequentTask[B,3]
                                   0            -0               
    18 SubsequentTask[B,4]
                                   0            -0               
    19 SubsequentTask[C,2]
                                   0            -0               
    20 SubsequentTask[C,3]
                                   0            -0               
    21 SubsequentTask[D,2]
                                   0            -0               
    22 SubsequentTask[D,3]
                                   0            -0               
    23 Sequencing[A,1,A,2,U1]
                                  16         -3000               
    24 Sequencing[A,1,A,2,U2]
                                  16         -3000               
    25 Sequencing[A,1,A,2,U3]
                                -984         -3000               
    26 Sequencing[A,1,A,2,U4]
                                -984         -3000               
    27 Sequencing[A,1,A,3,U1]
                                  24         -3000               
    28 Sequencing[A,1,A,3,U2]
                                -976         -3000               
    29 Sequencing[A,1,A,3,U3]
                                  24         -3000               
    30 Sequencing[A,1,A,3,U4]
                                -976         -3000               
    31 Sequencing[A,1,B,1,U1]
                                 -13         -3000               
    32 Sequencing[A,1,B,1,U2]
                                 -13         -3000               
    33 Sequencing[A,1,B,1,U3]
                               -1013         -3000               
    34 Sequencing[A,1,B,1,U4]
                               -1013         -3000               
    35 Sequencing[A,1,B,2,U1]
                               -1004         -3000               
    36 Sequencing[A,1,B,2,U2]
                                  -4         -3000               
    37 Sequencing[A,1,B,2,U3]
                                  -4         -3000               
    38 Sequencing[A,1,B,2,U4]
                               -1004         -3000               
    39 Sequencing[A,1,B,3,U1]
                                -986         -3000               
    40 Sequencing[A,1,B,3,U2]
                                  14         -3000               
    41 Sequencing[A,1,B,3,U3]
                                  14         -3000               
    42 Sequencing[A,1,B,3,U4]
                                -986         -3000               
    43 Sequencing[A,1,B,4,U1]
                                -982         -3000               
    44 Sequencing[A,1,B,4,U2]
                                  18         -3000               
    45 Sequencing[A,1,B,4,U3]
                                  18         -3000               
    46 Sequencing[A,1,B,4,U4]
                                -982         -3000               
    47 Sequencing[A,1,C,1,U1]
                                 -13         -3000               
    48 Sequencing[A,1,C,1,U2]
                               -1013         -3000               
    49 Sequencing[A,1,C,1,U3]
                                 -13         -3000               
    50 Sequencing[A,1,C,1,U4]
                               -1013         -3000               
    51 Sequencing[A,1,C,2,U1]
                                  -4         -3000               
    52 Sequencing[A,1,C,2,U2]
                                  -4         -3000               
    53 Sequencing[A,1,C,2,U3]
                               -1004         -3000               
    54 Sequencing[A,1,C,2,U4]
                               -1004         -3000               
    55 Sequencing[A,1,C,3,U1]
                                -996         -3000               
    56 Sequencing[A,1,C,3,U2]
                               -1996         -3000               
    57 Sequencing[A,1,C,3,U3]
                                -996         -3000               
    58 Sequencing[A,1,C,3,U4]
                               -1996         -3000               
    59 Sequencing[A,1,D,1,U1]
                               -1000         -3000               
    60 Sequencing[A,1,D,1,U2]
                               -1000         -3000               
    61 Sequencing[A,1,D,1,U3]
                               -1000         -3000               
    62 Sequencing[A,1,D,1,U4]
                               -3000         -3000               
    63 Sequencing[A,1,D,2,U1]
                                -995         -3000               
    64 Sequencing[A,1,D,2,U2]
                                -995         -3000               
    65 Sequencing[A,1,D,2,U3]
                                -995         -3000               
    66 Sequencing[A,1,D,2,U4]
                               -2995         -3000               
    67 Sequencing[A,1,D,3,U1]
                                -977         -3000               
    68 Sequencing[A,1,D,3,U2]
                                -977         -3000               
    69 Sequencing[A,1,D,3,U3]
                                -977         -3000               
    70 Sequencing[A,1,D,3,U4]
                               -2977         -3000               
    71 Sequencing[A,2,A,1,U1]
                                 -37         -3000               
    72 Sequencing[A,2,A,1,U2]
                                 -37         -3000               
    73 Sequencing[A,2,A,1,U3]
                               -1037         -3000               
    74 Sequencing[A,2,A,1,U4]
                               -1037         -3000               
    75 Sequencing[A,2,A,3,U1]
                                   0         -3000               
    76 Sequencing[A,2,A,3,U2]
                               -1000         -3000               
    77 Sequencing[A,2,A,3,U3]
                               -1000         -3000               
    78 Sequencing[A,2,A,3,U4]
                                   0         -3000               
    79 Sequencing[A,2,B,1,U1]
                                 -37         -3000               
    80 Sequencing[A,2,B,1,U2]
                                 -37         -3000               
