set Products := A B C D;
set Units := U1 U2 U3 U4;

param steps :=
A 3
B 4
C 3
D 3
;

param : proctime :=
A 1 U1 15
A 1 U2 12
A 1 U3 20
A 1 U4 13
A 2 U1 15
A 2 U2 14
A 2 U3 8
A 2 U4 7
A 3 U1 10
A 3 U2 6
A 3 U3 9
A 3 U4 12
B 1 U1 10
B 1 U2 11
B 1 U3 9
B 1 U4 10
B 2 U1 18
B 2 U2 20
B 2 U3 22
B 2 U4 19
B 3 U1 4
B 3 U2 6
B 3 U3 5
B 3 U4 5
B 4 U1 12
B 4 U2 15
B 4 U3 14
B 4 U4 13
C 1 U1 10
C 1 U2 8
C 1 U3 9
C 1 U4 7
C 2 U1 6
C 2 U2 7
C 2 U3 8
C 2 U4 8
C 3 U1 20
C 3 U2 19
C 3 U3 22
C 3 U4 21
D 1 U1 6
D 1 U2 5
D 1 U3 7
D 1 U4 5
D 2 U1 18
D 2 U2 16
D 2 U3 17
D 2 U4 18
D 3 U1 8
D 3 U2 7
D 3 U3 6
D 3 U4 7
;
