Problem:    f3
Rows:       749
Columns:    235 (208 integer, 208 binary)
Non-zeros:  3143
Status:     INTEGER OPTIMAL
Objective:  Makespan = 43 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 Valaszt[A,1,U1]
                                   0            -0               
     2 Valaszt[A,1,U2]
                                   0            -0               
     3 Valaszt[A,1,U3]
                                  20            -0               
     4 Valaszt[A,1,U4]
                                   0            -0               
     5 Valaszt[A,2,U1]
                                   0            -0               
     6 Valaszt[A,2,U2]
                                   0            -0               
     7 Valaszt[A,2,U3]
                                   0            -0               
     8 Valaszt[A,2,U4]
                                   7            -0               
     9 Valaszt[A,3,U1]
                                   0            -0               
    10 Valaszt[A,3,U2]
                                   0            -0               
    11 Valaszt[A,3,U3]
                                   0            -0               
    12 Valaszt[A,3,U4]
                                   1            -0               
    13 Valaszt[B,1,U1]
                                   0            -0               
    14 Valaszt[B,1,U2]
                                   0            -0               
    15 Valaszt[B,1,U3]
                                   9            -0               
    16 Valaszt[B,1,U4]
                                   0            -0               
    17 Valaszt[B,2,U1]
                                  18            -0               
    18 Valaszt[B,2,U2]
                                   0            -0               
    19 Valaszt[B,2,U3]
                                   0            -0               
    20 Valaszt[B,2,U4]
                                   0            -0               
    21 Valaszt[B,3,U1]
                                   4            -0               
    22 Valaszt[B,3,U2]
                                   0            -0               
    23 Valaszt[B,3,U3]
                                   0            -0               
    24 Valaszt[B,3,U4]
                                   0            -0               
    25 Valaszt[B,4,U1]
                                  12            -0               
    26 Valaszt[B,4,U2]
                                   0            -0               
    27 Valaszt[B,4,U3]
                                   0            -0               
    28 Valaszt[B,4,U4]
                                   0            -0               
    29 Valaszt[C,1,U1]
                                   0            -0               
    30 Valaszt[C,1,U2]
                                   8            -0               
    31 Valaszt[C,1,U3]
                                   0            -0               
    32 Valaszt[C,1,U4]
                                   0            -0               
    33 Valaszt[C,2,U1]
                                   0            -0               
    34 Valaszt[C,2,U2]
                                   7            -0               
    35 Valaszt[C,2,U3]
                                   0            -0               
    36 Valaszt[C,2,U4]
                                   0            -0               
    37 Valaszt[C,3,U1]
                                   0            -0               
    38 Valaszt[C,3,U2]
                                  19            -0               
    39 Valaszt[C,3,U3]
                                   0            -0               
    40 Valaszt[C,3,U4]
                                   0            -0               
    41 Valaszt[D,1,U1]
                                   0            -0               
    42 Valaszt[D,1,U2]
                                   5            -0               
    43 Valaszt[D,1,U3]
                                   0            -0               
    44 Valaszt[D,1,U4]
                                   0            -0               
    45 Valaszt[D,2,U1]
                                   0            -0               
    46 Valaszt[D,2,U2]
                                   0            -0               
    47 Valaszt[D,2,U3]
                                   0            -0               
    48 Valaszt[D,2,U4]
                                  18            -0               
    49 Valaszt[D,3,U1]
                                   0            -0               
    50 Valaszt[D,3,U2]
                                   0            -0               
    51 Valaszt[D,3,U3]
                                   6            -0               
    52 Valaszt[D,3,U4]
                                   0            -0               
    53 ProctimeConstraint[A,1]
                                   0            -0               
    54 ProctimeConstraint[A,2]
                                   0            -0               
    55 ProctimeConstraint[A,3]
                                   0            -0               
    56 ProctimeConstraint[B,1]
                                   0            -0               
    57 ProctimeConstraint[B,2]
                                   0            -0               
    58 ProctimeConstraint[B,3]
                                   0            -0               
    59 ProctimeConstraint[B,4]
                                   0            -0               
    60 ProctimeConstraint[C,1]
                                   0            -0               
    61 ProctimeConstraint[C,2]
                                   0            -0               
    62 ProctimeConstraint[C,3]
                                   4            -0               
    63 ProctimeConstraint[D,1]
                                   0            -0               
    64 ProctimeConstraint[D,2]
                                   0            -0               
    65 ProctimeConstraint[D,3]
                                   0            -0               
    66 SubsequentTask[A,2]
                                   0            -0               
    67 SubsequentTask[A,3]
                                   0            -0               
    68 SubsequentTask[B,2]
                                   0            -0               
    69 SubsequentTask[B,3]
                                   0            -0               
    70 SubsequentTask[B,4]
                                   0            -0               
    71 SubsequentTask[C,2]
                                   5            -0               
    72 SubsequentTask[C,3]
                                   0            -0               
    73 SubsequentTask[D,2]
                                   4            -0               
    74 SubsequentTask[D,3]
                                   2            -0               
    75 Sequencing[A,1,A,2,U1]
                                   0         -3000               
    76 Sequencing[A,1,A,2,U4]
                               -1000         -3000               
    77 Sequencing[A,1,A,3,U1]
                                   7         -3000               
    78 Sequencing[A,1,A,3,U3]
                                -993         -3000               
    79 Sequencing[A,1,A,3,U4]
                                -993         -3000               
    80 Sequencing[A,1,B,1,U3]
                               -2035         -3000               
    81 Sequencing[A,1,B,1,U4]
                                 -35         -3000               
    82 Sequencing[A,1,B,2,U1]
                               -1026         -3000               
    83 Sequencing[A,1,B,2,U4]
                                 -26         -3000               
    84 Sequencing[A,1,B,3,U1]
                               -1008         -3000               
    85 Sequencing[A,1,B,3,U3]
                               -1008         -3000               
    86 Sequencing[A,1,B,3,U4]
                                  -8         -3000               
    87 Sequencing[A,1,B,4,U1]
                               -1004         -3000               
    88 Sequencing[A,1,B,4,U4]
                                  -4         -3000               
    89 Sequencing[A,1,C,1,U1]
                                 -35         -3000               
    90 Sequencing[A,1,C,1,U4]
                                 -35         -3000               
    91 Sequencing[A,1,C,2,U3]
